Country,"Fertility rate, total (births per woman)",Current health expenditure per capita (current US$),Diabetes prevalence (% of population ages 20 to 79),Domestic general government health expenditure per capita (current US$),Domestic private health expenditure per capita (current US$),"GNI per capita, Atlas method (current US$)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, Hib3 (% of children ages 12-23 months)","Immunization, measles (% of children ages 12-23 months)","Immunization, Pol3 (% of one-year-old children)","Incidence of tuberculosis (per 100,000 people)","Labor force, total",Net migration,Out-of-pocket expenditure per capita (current US$),People using at least basic drinking water services (% of population),People using at least basic sanitation services (% of population),Population growth (annual %),"Population, total",Prevalence of overweight (% of adults),Prevalence of hypertension (% of adults ages 30-79),Rural population,Sex ratio at birth (male births per female births),"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","Tuberculosis death rate (per 100,000 people)",Tuberculosis treatment success rate (% of new cases),"Unemployment, total (% of total labor force)",Urban population growth (annual %),Urban population
Lebanon,2.327,779.60778809,12.3,384.29187533,368.84372018,8630.0,76.0,74.0,78.0,81.0,73.0,15.0,2042509.0,-17267.0,239.42785047,92.6,99.0673793809694,0.560805065461567,5805962.0,64.29,38.1,603646.0,1.052,1.48,1.0,80.0,11.301,0.751831740405999,5202316.0
Nepal,2.08,53.61107254,7.7,13.30052833,33.92577679,1470.0,93.0,93.0,93.0,92.0,92.0,238.0,8435336.0,-401282.0,31.04785251,90.2863663521825,72.8801279481259,-0.146800968936231,29651054.0,27.44,36.1,23019299.0,1.052,1.36,58.0,89.0,10.706,1.94504115407114,6631755.0
Cuba,1.54,1023.39715576,9.4,911.00330121,111.04025383,9010.0,99.0,99.0,99.0,99.0,99.0,6.5,4858882.0,-22356.0,111.04024762,94.1484823370466,90.6561903272549,-0.364986968189241,10979783.0,53.07,39.9,2453213.0,1.075,6.01,0.31,82.0,1.53,-0.192283968762651,8526570.0
Italy,1.27,2910.64672852,7.7,2146.45322764,764.19356919,38290.0,96.0,95.0,95.0,94.0,96.0,6.1,25828140.0,95246.0,682.85775621,99.9170340740928,99.8852240140235,-0.0126327033700514,58986023.0,49.18,33.8,16343847.0,1.059,7.97,0.47,,6.778,0.429609757181424,42642176.0
Portugal,1.44,2221.73120117,10.5,1350.26096116,869.82528714,26620.0,99.0,98.0,99.0,99.0,99.0,19.0,5464162.0,20648.0,680.01062296,99.2195941125794,99.6451165848976,1.16038052337763,10701636.0,54.6,32.3,3379256.0,1.05,10.45,1.8,71.0,6.384,1.91883573116931,7322380.0
Rwanda,3.985,50.75216675,2.1,20.39737413,13.19004652,1040.0,98.0,98.0,98.0,96.0,98.0,57.0,5671034.0,-15582.0,5.93277862,62.4117359707321,71.2065248746041,2.14176839550509,14256567.0,17.7,29.8,11678837.0,1.027,1.88,4.9,87.0,11.994,3.19256888917772,2577730.0
Chad,6.412,30.23999405,7.3,4.59026275,19.8741655,970.0,50.0,50.0,50.0,40.0,46.0,142.0,6599919.0,204040.0,19.26193657,50.4980643454126,12.2940188961564,4.94853027382671,20299123.0,19.77,37.9,15287067.0,1.042,3.73,22.0,80.0,1.088,6.27353263233479,5012056.0
Moldova,1.78,284.30029297,6.3,169.65338738,104.95386152,6940.0,91.0,94.0,90.0,97.0,94.0,80.0,1357837.0,-27088.0,101.47730019,90.6956869576304,82.9898264033017,-2.82697514456259,2389275.0,59.92,48.3,1347575.0,1.063,11.36,5.3,84.0,1.434,-2.30724648574021,1041700.0
Tanzania,4.866,39.98176956,9.8,16.20863437,9.05018071,1200.0,91.0,91.0,91.0,89.0,87.0,237.0,32982660.0,-29865.0,8.72763031,56.5658481263889,29.099388976813,2.87426672866542,68560157.0,29.61,33.2,42414056.0,1.03,10.36,35.0,93.0,2.576,4.79900590670818,26146101.0
Sao Tome and Principe,3.9,106.86884308,12.1,43.5287584,20.22685731,2770.0,95.0,95.0,95.0,95.0,95.0,114.0,34471.0,-604.0,18.15834616,77.335780426244,45.1201003296246,2.0004655038868,235536.0,40.08,45.1,54140.0,1.027,5.01,19.0,70.0,9.17,2.79963726734165,181396.0
Jordan,2.855,294.92785645,20.5,126.66507164,158.20213126,4430.0,89.0,89.0,89.0,87.0,87.0,5.5,3079844.0,-156369.0,106.17410561,98.9513662051964,97.2214886294743,0.988722042141178,11552876.0,70.08,37.7,900431.0,1.049,0.31,0.09,82.0,17.996,1.19064759002412,10652445.0
"Iran, Islamic Rep.",1.766,225.23252869,9.0,100.15821384,125.04621535,4660.0,99.0,99.0,99.0,99.0,99.0,13.0,28574661.0,190156.0,87.58752064,97.3236128720162,90.0210873435845,1.05286922170537,91567738.0,58.63,26.2,20421437.0,1.056,0.7,1.0,85.0,9.192,1.62206783443733,71146301.0
France,1.86,4508.76074219,6.5,3377.60585968,1131.15472418,45180.0,96.0,93.0,96.0,92.0,96.0,9.0,31725232.0,90527.0,437.48525164,100.0,98.6484145544858,0.335095323008513,68516699.0,35.76,29.1,12302858.0,1.047,11.3,0.55,12.0,7.37,0.661062424539315,56213841.0
Poland,1.44,1014.03820801,8.1,723.87111172,289.60774241,21560.0,95.0,90.0,95.0,93.0,87.0,15.0,18244832.0,-238062.0,203.72823841,91.8196871808371,98.9575335757009,-0.362213037220326,36554707.0,61.11,49.2,14501252.0,1.058,11.63,1.4,,2.472,-0.176392637156736,22053455.0
Nicaragua,2.321,166.49009705,10.4,102.50521696,58.01795277,2510.0,98.0,98.0,98.0,99.0,99.0,43.0,3224663.0,-8189.0,55.30403116,81.6122389735586,72.9693990502626,1.34687135560209,6916140.0,65.77,35.8,2755736.0,1.035,4.17,1.5,88.0,4.574,1.85685858800569,4160404.0
Guyana,2.521,314.0977478,16.4,186.01511896,119.57990546,20220.0,99.0,99.0,99.0,98.0,97.0,77.0,292190.0,-5407.0,110.00879141,94.9483638235288,89.1498898157526,0.571243951310838,831087.0,54.51,40.0,604067.0,1.037,5.35,11.0,71.0,10.165,1.13673329169945,227020.0
Czechia,1.71,1805.44030762,7.6,1526.63381613,278.80653931,29140.0,97.0,97.0,97.0,92.0,97.0,5.0,5541179.0,-86169.0,258.34084521,99.8804688935076,99.1371345347108,0.166668192097377,10882164.0,58.4,41.6,2749052.0,1.05,13.29,0.21,74.0,2.506,0.415846046839682,8133112.0
Russian Federation,1.504,650.47058105,5.9,397.77517834,252.69534409,15320.0,97.0,97.0,,98.0,96.0,50.0,72516535.0,-178042.0,237.90144377,96.7955268787445,88.7074197923604,-0.203423663777625,143533851.0,57.48,44.3,35096897.0,1.058,10.42,5.5,68.0,2.527,0.0842244706528432,108436954.0
Bhutan,1.448,115.71811676,12.0,85.13131815,22.52724849,3370.0,97.0,97.0,97.0,97.0,97.0,164.0,406457.0,-277.0,20.58675001,98.872312239386,75.403670277365,0.651370664586926,791524.0,42.84,43.4,435338.0,1.048,0.2,18.0,94.0,2.856,2.10633251754532,356186.0
Malta,1.14,2943.63208008,10.0,1840.07512732,1103.30648057,34660.0,98.0,98.0,98.0,96.0,98.0,22.0,318150.0,6323.0,1004.69329525,100.0,99.9644988230789,3.83316098582142,574346.0,64.65,29.5,28683.0,1.068,8.52,0.21,,2.703,3.9014819711169,545663.0
Greece,1.34,1569.02905273,8.0,765.07093805,801.88962709,23030.0,99.0,96.0,99.0,97.0,99.0,4.7,4654775.0,-122772.0,527.86408305,99.9999992981031,98.9902622377645,-0.16141854820326,10388805.0,60.82,31.3,1975535.0,1.063,7.12,0.41,,10.133,0.223349174849742,8413270.0
Panama,2.288,1339.45153809,11.1,760.01072943,578.33296464,17960.0,88.0,88.0,88.0,97.0,88.0,37.0,2205785.0,6706.0,503.89064829,94.182498815948,83.3785517603304,1.26624987466078,4515577.0,68.97,36.1,1359731.0,1.059,6.6,4.8,83.0,6.518,1.80567728791701,3155846.0
Kuwait,2.082,1643.16491699,25.6,1448.41896689,194.7459563,40250.0,92.0,92.0,92.0,97.0,97.0,20.0,3002559.0,61624.0,176.15658044,100.0,100.0,2.45127885912436,4973861.0,77.65,40.5,0.0,1.05,0.0,0.39,74.0,2.144,2.45127885912436,4973861.0
Mauritius,1.4,639.18286133,20.1,281.08156849,357.09978031,12850.0,96.0,97.0,97.0,99.0,97.0,12.0,594884.0,-2787.0,301.22373909,99.9621987210459,,-0.121560785435973,1259509.0,50.23,33.1,743816.0,1.035,7.52,1.3,79.0,5.476,0.0665345698779699,515693.0
Belarus,1.382,400.11621094,5.1,281.60586919,117.95185946,8240.0,98.0,97.0,91.0,98.0,98.0,29.0,4817451.0,-3119.0,102.78998428,98.3919868544727,99.3407614255289,-0.48696006725267,9133712.0,54.91,49.2,1723988.0,1.058,10.9,2.4,89.0,3.361,-0.000107966176351525,7409724.0
China,1.496,538.99157715,11.9,301.72231266,237.26568152,13660.0,99.0,99.0,,99.0,99.0,58.0,773879678.0,-318992.0,189.88684592,95.3173719016687,91.2881365395444,-0.123063407363995,1408975000.0,34.58,27.3,485476426.0,1.139,5.73,2.2,94.0,4.571,1.3741132127498,923498574.0
Australia,1.657,5529.19482422,7.4,4079.73088641,1449.4638642,62550.0,95.0,95.0,95.0,94.0,95.0,6.8,14911672.0,138510.0,813.15610779,99.9698543658953,100.0,2.05004113352233,27204809.0,63.0,29.3,3604637.0,1.058,10.09,0.18,86.0,4.072,2.20347308455882,23600172.0
Guinea,4.576,42.16910172,4.6,9.49816282,28.11817231,1470.0,47.0,47.0,47.0,47.0,48.0,176.0,4534264.0,-12024.0,24.9706137,67.6752472334276,27.606397594017,2.39595802290484,14754785.0,26.31,40.9,9071684.0,1.045,0.47,19.0,89.0,5.23,3.52389488078414,5683101.0
Samoa,4.061,242.9050293,25.4,185.94863899,28.87890028,4650.0,68.0,68.0,68.0,96.0,68.0,9.9,57239.0,-2754.0,27.10244319,96.4228349677627,96.8442592798373,0.62390639530784,218019.0,86.93,38.3,180040.0,1.076,2.39,0.86,89.0,4.551,0.121192975103533,37979.0
Pakistan,3.81,36.01374817,31.4,11.92729539,21.45365495,1430.0,84.0,84.0,84.0,81.0,84.0,263.0,83643815.0,-1401173.0,20.19759608,90.1906503511874,65.3899355736604,1.50959876314033,251269164.0,49.86,43.2,154869749.0,1.055,0.1,19.0,93.0,5.472,2.36033369009023,96399415.0
Andorra,1.045,3021.43261719,10.1,2154.82026195,866.61239614,48870.0,99.0,98.0,98.0,99.0,99.0,7.5,,988.0,384.99845713,99.9999967920626,99.9999967920626,1.32930689449906,81938.0,48.13,31.0,10040.0,1.063,11.05,0.0,60.0,,1.29771050300546,71898.0
Cyprus,1.33,2093.0612793,10.0,1133.68826517,945.29099746,32980.0,95.0,95.0,95.0,86.0,95.0,5.9,772322.0,8138.0,705.91558829,99.7651923631792,99.3958159908827,0.984449687113221,1358282.0,53.91,30.8,447119.0,1.065,8.05,0.19,28.0,5.602,1.12620539354744,911163.0
Kazakhstan,2.89,263.61331177,6.8,158.00516307,105.60816049,12150.0,97.0,97.0,97.0,99.0,97.0,68.0,10285416.0,-7368.0,89.26956177,95.4270288711281,97.8696948845301,1.28276364646616,20592571.0,51.83,41.9,8569187.0,1.066,4.52,2.4,90.0,4.794,1.63964155827714,12023384.0
Montenegro,1.8,754.77441406,10.7,459.16769135,295.60670999,12020.0,85.0,62.0,85.0,33.0,85.0,15.0,245288.0,-1686.0,291.01301208,98.6814038394913,97.5022993595498,0.0484222687758048,623831.0,49.09,45.1,194386.0,1.077,10.34,0.2,95.0,14.1,0.54052608035804,429445.0
Barbados,1.715,1168.11938477,13.2,524.24959818,633.49704138,23660.0,90.0,90.0,90.0,92.0,91.0,0.0,147247.0,-70.0,545.43747375,98.5144504186196,98.0924623115578,0.0463878564204179,282467.0,65.81,41.8,193354.0,1.035,9.47,0.87,,7.529,0.43747996245802,89113.0
Guatemala,2.593,278.59024048,13.2,107.04856274,169.12584506,5780.0,88.0,88.0,88.0,90.0,88.0,26.0,7575261.0,-7725.0,155.9803897,93.5077090807793,68.2436687072873,1.54129399660934,18406359.0,60.9,32.2,8551226.0,1.038,1.63,2.1,85.0,2.219,2.37401466688263,9855133.0
Paraguay,2.525,416.84432983,9.4,193.19676697,223.62125536,6290.0,86.0,86.0,86.0,87.0,84.0,46.0,3502274.0,-12451.0,174.94019368,99.5911140188522,91.7156741252874,1.23438951533718,6929153.0,66.76,56.4,2529903.0,1.05,5.6,3.9,67.0,6.093,1.77135000240791,4399250.0
Spain,1.23,2713.62255859,9.7,1913.46013834,800.16249627,33410.0,95.0,95.0,96.0,98.0,95.0,9.9,24386307.0,111674.0,593.13454905,99.9258382744694,99.9193565738972,0.945355767423027,48807137.0,51.29,27.2,8881923.0,1.059,10.91,0.47,47.0,11.394,1.25143809575998,39925214.0
Canada,1.47,5103.84130859,7.7,3547.29015165,1556.55137262,53340.0,91.0,84.0,92.0,90.0,92.0,5.8,22867596.0,368599.0,789.49666279,99.2216549751961,98.7573271465461,2.96220294420494,41288599.0,59.01,22.1,7440206.0,1.053,9.9,0.21,79.0,6.45,3.1062418205964,33848393.0
Algeria,2.997,242.07002258,17.5,146.38565972,95.5741952,5320.0,88.0,88.0,88.0,80.0,88.0,61.0,13294279.0,-31240.0,91.80025631,94.2391398601614,86.1385043463065,1.39838651912702,46814308.0,55.58,36.2,11353406.0,1.046,0.61,6.6,86.0,11.427,2.03408385092412,35460902.0
Namibia,3.404,397.42849731,5.3,171.47416313,191.6106805,4240.0,87.0,87.0,87.0,80.0,84.0,486.0,1130939.0,4211.0,31.54868249,84.8394848926625,34.9607746948101,2.23715227334598,3030131.0,35.16,43.8,1339469.0,1.011,5.93,57.0,87.0,19.148,3.87979149424348,1690662.0
Guinea-Bissau,4.153,54.16643524,4.8,3.46580799,39.57782115,960.0,78.0,78.0,78.0,79.0,60.0,361.0,845297.0,-1712.0,37.58533236,61.374471808356,24.9811064482039,2.20520563612008,2201352.0,30.05,38.0,1191086.0,1.041,4.14,72.0,73.0,2.622,3.13995060137583,1010266.0
South Africa,2.264,538.80426025,7.2,313.62231793,219.14482068,6100.0,85.0,85.0,85.0,83.0,85.0,615.0,27765994.0,166972.0,30.93337734,93.3882436903298,75.3796452913204,1.24951426055192,64007187.0,54.69,44.1,19651487.0,1.041,8.77,38.0,79.0,33.168,1.94312982083253,44355700.0
Somalia,6.56,12.87221336,5.8,0.70091391,5.9587302,600.0,42.0,42.0,42.0,46.0,47.0,258.0,3439353.0,26859.0,5.84477786,54.9344082547372,38.2309061647547,3.48215481810475,19009151.0,32.34,36.1,9786101.0,1.044,0.0,66.0,92.0,18.861,4.72441060423926,9223050.0
Iceland,1.74,5912.00976563,6.9,4902.79060285,1009.21938674,78480.0,92.0,,93.0,93.0,93.0,4.1,248445.0,3543.0,911.96529784,99.9999984604769,98.7811023801508,2.82263816900144,404610.0,56.81,27.5,23896.0,1.065,8.07,0.34,100.0,3.107,2.87805942207719,380714.0
Bahrain,1.843,1030.26379395,22.1,600.37062918,429.89315973,28810.0,99.0,99.0,99.0,99.0,99.0,14.0,913340.0,22699.0,308.8664327,99.921837339959,100.0,0.733546811160036,1588670.0,67.65,38.7,158883.0,1.04,1.58,0.51,17.0,1.102,0.878100134989872,1429787.0
United Arab Emirates,1.247,1962.46728516,20.7,1004.27129642,958.19591654,49500.0,99.0,98.0,99.0,99.0,95.0,0.98,7090447.0,278439.0,240.04156615,100.0,99.0984800860555,3.68221866028066,10876981.0,71.32,41.4,1304368.0,1.047,2.37,0.67,81.0,2.133,3.94275453674315,9572613.0
South Sudan,4.26,35.07043839,4.6,3.91716068,17.9460022,,61.0,61.0,61.0,65.0,61.0,227.0,4348731.0,15374.0,14.84345233,40.841655390804,15.747277681583,3.92792442239756,11943408.0,22.36,34.2,9368409.0,1.035,,34.0,85.0,12.709,5.63538258159784,2574999.0
Dominica,1.504,465.63766479,12.9,300.15431803,162.13516817,10220.0,99.0,99.0,99.0,92.0,99.0,16.0,,-200.0,157.66325304,,,-0.459632350460969,66205.0,57.14,47.7,18331.0,1.036,6.1,3.0,,,-0.0355035768361578,47874.0
Gabon,3.884,205.99945068,8.5,124.24018612,80.58883946,7550.0,70.0,70.0,70.0,62.0,70.0,521.0,824439.0,1105.0,47.56119537,85.9840211658641,49.7848246840842,2.15636509762581,2538952.0,44.91,37.4,220711.0,1.021,7.33,84.0,67.0,20.061,2.4612824673277,2318241.0
Latvia,1.61,1183.1151123,7.1,708.17818715,471.79322302,21930.0,99.0,99.0,99.0,99.0,99.0,24.0,954883.0,-2225.0,415.33261892,98.7382545669579,92.4131252688765,-0.802381703529138,1862441.0,57.91,43.9,580802.0,1.069,13.09,3.4,,6.72,-0.592868278583368,1281639.0
Dominican Republic,2.366,346.12109375,17.6,211.6333132,130.43262989,10280.0,89.0,87.0,79.0,96.0,92.0,42.0,5413316.0,-34806.0,96.70998387,96.1401141515674,87.2031083799599,0.846199988604412,11427557.0,60.93,49.1,1712877.0,1.045,6.76,1.8,80.0,5.473,1.51303377792895,9714680.0
Norway,1.53,8007.35546875,4.8,6863.65317491,1143.70189161,98280.0,97.0,96.0,97.0,97.0,97.0,3.3,3042209.0,44356.0,1114.52190016,99.9999987035841,98.0521507255644,0.949856337284405,5572272.0,56.67,30.5,873844.0,1.063,6.8,0.28,85.0,3.97,1.33365863013309,4698428.0
Mauritania,4.984,54.63365555,5.2,19.45967919,33.4391928,2090.0,80.0,80.0,80.0,75.0,75.0,89.0,1209855.0,-2185.0,32.94027915,72.5443131435372,49.5893944954558,2.88395898961435,5169395.0,44.85,37.9,2147470.0,1.033,0.0,16.0,81.0,10.373,4.19083989495504,3021925.0
Austria,1.46,5263.390625,5.4,3941.44858584,1321.94216651,54160.0,85.0,85.0,85.0,95.0,85.0,6.0,4768178.0,8813.0,942.94692249,99.9999965908061,99.9727098850505,0.510327486072338,9178482.0,44.8,33.8,3688006.0,1.054,11.97,0.45,74.0,5.439,0.994625653348628,5490476.0
Luxembourg,1.34,6221.73876953,5.8,5342.75189951,796.15092399,91470.0,99.0,96.0,99.0,99.0,99.0,8.9,349964.0,5677.0,596.5227216,99.8767046171651,97.5942628469242,1.67946888266941,677717.0,51.59,30.5,52415.0,1.048,11.53,0.23,36.0,5.935,1.88344441893605,625302.0
Romania,1.77,738.5581665,7.5,591.87914899,146.6790098,17600.0,88.0,90.0,88.0,90.0,88.0,65.0,8263006.0,-28466.0,139.41883148,99.9999996798846,86.5415830093919,0.0517246559346912,19069340.0,62.11,48.4,8604086.0,1.053,16.99,4.7,84.0,5.379,0.431458892013842,10465254.0
Togo,4.45,48.85387421,4.8,7.36573559,37.03492653,1010.0,84.0,84.0,84.0,75.0,78.0,37.0,3344953.0,-14014.0,32.34604443,67.8121290467606,18.3495107376786,2.2413667842624,9515236.0,28.59,36.0,5227290.0,1.028,1.42,2.7,87.0,1.94,3.52328228088991,4287946.0
"Egypt, Arab Rep.",2.87,142.69670105,22.4,40.24599244,100.9704648,3510.0,95.0,95.0,95.0,95.0,95.0,12.0,33748776.0,123884.0,89.19465981,98.7614152226307,97.2005582635653,1.73324205302065,116538258.0,72.56,38.2,66126138.0,1.053,0.15,0.43,87.0,7.198,2.09916123919195,50412120.0
Costa Rica,1.6,930.43511963,9.8,674.89936683,255.52607567,15620.0,95.0,94.0,96.0,95.0,96.0,10.0,2357187.0,967.0,207.71559039,99.7975293659545,97.8532216953258,0.476482848761595,5129910.0,65.47,37.8,863518.0,1.043,3.45,0.77,,7.848,1.13393837175165,4266392.0
Timor-Leste,3.116,78.01346588,3.2,44.9980764,8.17958619,1560.0,83.0,83.0,83.0,75.0,83.0,498.0,615914.0,-2552.0,8.18173335,82.3841159192672,55.1898926962233,1.17433638550192,1400638.0,12.47,35.3,940640.0,1.071,0.4,88.0,91.0,1.603,2.35669371559397,459998.0
Sweden,1.71,5652.98974609,5.8,4812.05883018,840.93058033,58820.0,98.0,97.0,97.0,97.0,98.0,5.3,5699211.0,50115.0,775.21172474,99.7174099911848,98.8972906623906,0.313432129983607,10569709.0,50.24,30.2,1165205.0,1.059,9.3,0.18,61.0,8.528,0.581270101200291,9404504.0
Senegal,4.1,64.33670807,3.8,15.13759586,36.79642283,1680.0,96.0,95.0,95.0,86.0,97.0,117.0,5763236.0,-10307.0,31.36196091,82.6975294805221,57.0490341820529,2.32058603495657,18501984.0,28.66,40.5,9236190.0,1.031,0.41,16.0,91.0,2.992,3.3260265526015,9265794.0
Cabo Verde,1.698,195.76327515,6.8,122.40632655,60.33403966,5000.0,96.0,96.0,96.0,98.0,97.0,49.0,224498.0,-1209.0,55.24322562,88.5908710915054,78.8249564795012,0.486246288487151,524877.0,44.09,44.1,165798.0,1.033,6.27,4.3,89.0,11.878,1.1168325335273,359079.0
Bangladesh,2.18,47.84217072,13.2,9.46826743,35.71238614,2820.0,98.0,98.0,98.0,97.0,98.0,221.0,77355168.0,-473362.0,34.47037958,97.8251365713411,54.9102399606066,1.21462115417186,173562364.0,23.44,28.8,102002601.0,1.051,0.005,24.0,95.0,4.68,3.06772756682046,71559763.0
Marshall Islands,3.012,793.66851807,25.7,352.91552384,15.92502722,8380.0,79.0,82.0,72.0,85.0,78.0,645.0,,-1765.0,8.92603388,85.7156629279255,81.3284518768247,-3.34957664335036,37548.0,72.96,31.9,7807.0,1.07,,53.0,87.0,,-2.91921396683792,29741.0
Comoros,4.138,78.23674774,10.8,12.57189089,51.91858188,1690.0,78.0,78.0,78.0,76.0,71.0,35.0,276379.0,-2051.0,48.37218739,80.2105014769868,35.9066757549833,1.89182789744612,866628.0,40.17,33.2,603017.0,1.032,0.25,9.3,,3.875,2.83639289494958,263611.0
Lithuania,1.43,1369.97949219,7.5,891.70282825,473.33688918,26950.0,92.0,92.0,92.0,93.0,92.0,41.0,1547740.0,2617.0,442.09547157,98.0014728864191,93.7683252267195,0.571912303276281,2888055.0,57.83,48.0,897145.0,1.052,11.79,4.2,87.0,7.504,0.923580249748532,1990910.0
Tuvalu,3.331,1128.93554688,19.0,879.81962503,4.06102744,6880.0,92.0,92.0,92.0,96.0,92.0,296.0,,-280.0,3.46103508,99.1992660756145,83.499603826937,-1.74703857618302,9646.0,85.18,50.4,3190.0,1.069,1.25,24.0,87.0,,-0.70998909140659,6456.0
Sri Lanka,2.022,154.87071228,10.2,73.29157113,79.4997437,3860.0,99.0,99.0,99.0,99.0,99.0,64.0,8498980.0,-27245.0,70.47765398,88.3914085074832,92.487940769035,-0.550589519145017,21916000.0,35.15,35.6,17660789.0,1.044,2.83,3.3,85.0,4.996,0.510866152385044,4255211.0
Germany,1.54,5488.53955078,7.8,4236.93291821,1251.60686936,54960.0,91.0,88.0,90.0,97.0,91.0,6.1,43772213.0,36954.0,726.02044273,99.9999995489977,99.2253840840528,-0.467077236996451,83510950.0,54.13,29.7,18460095.0,1.054,12.22,0.32,69.0,3.406,-0.300045080252953,65050855.0
San Marino,1.096,3801.21044922,8.6,3374.68300332,426.52756826,43770.0,88.0,87.0,86.0,86.0,88.0,0.0,,37.0,426.52756686,100.0,100.0,0.344944841346899,33977.0,,,703.0,1.066,,0.0,,,0.442765139531347,33274.0
Armenia,1.6,533.69952393,7.7,66.20586604,462.18191385,7780.0,92.0,92.0,92.0,95.0,94.0,26.0,1510047.0,-29966.0,452.54680898,99.9281719305937,93.8578716530954,2.30761515133256,3033500.0,54.07,47.3,1094214.0,1.104,4.98,1.2,82.0,13.329,2.60526067446792,1939286.0
Sudan,4.617,33.70681,19.0,7.65215815,23.84892967,720.0,93.0,93.0,93.0,90.0,93.0,67.0,10731215.0,-544257.0,22.70949014,61.6056535311679,36.7782607644713,0.808373216038761,50448963.0,36.87,40.8,31907960.0,1.041,0.005,9.9,83.0,11.658,1.93022930430759,18541003.0
Grenada,1.542,515.94726563,11.3,213.5535841,301.91766607,10550.0,94.0,94.0,94.0,94.0,94.0,3.1,,-192.0,280.78343925,,,0.107559936614412,117207.0,58.21,46.6,73527.0,1.041,8.06,1.1,33.0,,0.668437867694504,43680.0
Uzbekistan,2.869,98.6240387,7.5,41.01432506,57.55738111,3020.0,96.0,96.0,96.0,98.0,98.0,67.0,13974298.0,-7066.0,56.89124751,95.6274361480504,95.9392178524971,1.97065383660565,36361859.0,59.57,45.7,17953304.0,1.084,2.6,3.4,90.0,4.488,2.15650193979521,18408555.0
